Object ID,Street,Cross Street,Direction,Facing Street,Distance,CNN Segment ID,Last Edited Date,Geom
9275,ROLPH,SOUTH HILL,NW,SB,0,21385000,,"(37.7114097141, -122.431880135)"
9276,ROME,CAYUGA,SW,EB, ,21564000,,"(37.7157468119, -122.447523515)"
9277,ROME,OTTAWA,SE,NB, ,21528000,,"(37.7157328994, -122.446385058)"
9278,ROSELYN,GOLDEN GATE,NW,SB,0,26456000,,"(37.7773236912, -122.449584046)"
9279,ROUSSEAU,ALEMANY,NW,SB,0,21705000,,"(37.7310448282, -122.42958391)"
9280,RUSS,NATOMA,SE,NB,0,24288000,,"(37.7792986474, -122.408822208)"
9281,WAYLAND,HOLYOKE,NE,WB, ,20864000,,"(37.7251469865, -122.408055412)"
9282,WEBSTER,BAY,NW,SB,0,26776000,,"(37.8028524604, -122.434985796)"
9283,WEBSTER,CHESTNUT,SE,NB,0,26752000,,"(37.8010315862, -122.434615565)"
9284,24TH STREET,SHOTWELL STREET,NE,WB, ,24064000,,"(37.7524445885, -122.415185501)"
9285,SHRADER STREET,BELGRAVE AVE,NW,SB, ,26269000,,"(37.7596157957, -122.449228177)"
9286,PALACE OF FINE ARTS,LYON STREET,SW,EB, ,51476000,,"(37.8044826248, -122.448253946)"
9287,CASTRO STREET,28TH STREET,SE,NB, ,22012000,,"(37.7448858609, -122.43347914)"
9288,JAMESTOWN AVE,HAWES STREET,SW,EB, ,33227000,,"(37.7175311005, -122.391612615)"
9289,JAMESTOWN AVE,HAWES AVE,NE,WB, ,33227000,,"(37.7175311005, -122.391612615)"
9290,JAMESTOWN AVE,CORONADO STREET,SW,EB, ,20434000,,"(37.7169268471, -122.39073631)"
9291,JAMESTOWN AVE,CORONADO STREET,NE,WB, ,20434000,,"(37.7169268471, -122.39073631)"
9292,NORTH POINT STREET,FILLMORE STREET,NE,WB, ,26784000,,"(37.8036075866, -122.436904832)"
9293,DETROIT STREET,JOOST AVE,NW,SB, ,22157000,,"(37.7323518405, -122.444327563)"
9294,ELLIOT STREET,RAYMOND AVE,SE,NB, ,20385000,,"(37.7143718987, -122.411329032)"
9295,YUKON STREET,CASELLI AVE,SE,NB, ,26161000,,"(37.7596191497, -122.442320125)"
9296,20TH STREET,INDIANA STREET,NE,WB, ,23646000,,"(37.7603664369, -122.391430737)"
9297,RUDDEN STREET,DELANO STREET,NE,WB, ,22071000,,"(37.7245968581, -122.442339764)"
9298,40TH AVE,CLEMENT STREET,SE,NB, ,27914000,,"(37.7812818832, -122.500958279)"
9299,BLAKE STREET,ANZA STREET,NW,SB, ,26468000,,"(37.7806272574, -122.450857069)"
9300,CHESTER AVE,RANDOLPH STREET,SE,NB, ,22546000,,"(37.7142821704, -122.470476936)"
9301,RINGOLD STREET,9TH STREET,NE,WB, ,24231000,,"(37.7733375695, -122.411084574)"
9302,EUCALYPTUS DRIVE,CLEARFIELD DRIVE,NE,WB, ,23304000,,"(37.7307085552, -122.491358576)"
9303,LAFAYETTE STREET,HOWARD STREET,NW,SB, ,24360000,,"(37.7724611032, -122.416316811)"
9304,RIVERA STREET,43RD AVE,NE,WB, ,23477000,,"(37.7456498903, -122.501682597)"
9305,RIVERA STREET,43RD AVE,SW,EB, ,23477000,,"(37.7456498903, -122.501682597)"
9306,WEBSTER STREET,ELLIS STREET,NW,SB, ,26585000,,"(37.7825748325, -122.430811099)"
9307,FAIR OAKS STREET,26TH STREET,NW,SB, ,21903000,,"(37.748715872, -122.423690433)"
9308,MINNESOTA STREET,23RD STREET,SE,NB, ,23616000,,"(37.7552750906, -122.390001798)"
9309,PLAZA STREET,MAGELLAN AVE,NE,WB, ,22888000,,"(37.7487000681, -122.460063753)"
9310,MAGELLAN AVE,PLAZA STREET,SE,NB, ,22888000,,"(37.7487000681, -122.460063753)"
9311,MARINA BLVD,BAKER STREET,NE,WB, ,27020000,,"(37.8051650347, -122.447300094)"
9312,MARINA BLVD,BAKER STREET,SW,EB, ,27020000,,"(37.8051650347, -122.447300094)"
9313,BELVEDERE STREET,FREDERICK STREET,NW,SB, ,26406000,,"(37.7668770668, -122.449087117)"
9314,26TH STREET,INDIANA STREET,SW,EB, ,23608000,,"(37.7513954186, -122.39057679)"
9315,26TH STREET,INDIANA STREET,NE,WB, ,23608000,,"(37.7513954186, -122.39057679)"
9316,STARVIEW WAY,PANORAMA DRIVE,NE,WB, ,26235000,,"(37.749355716, -122.452135843)"
9317,HIGHLAND AVE,HOLLY PARK CIRCLE,NE,WB, ,21242000,,"(37.7371530211, -122.41881344)"
9318,WEBSTER,GREEN,NW,SB,0,26661000,,"(37.7963715881, -122.433671123)"
9319,WEBSTER,HERMANN, ,SB,0,25887000,,"(37.7704567037, -122.428439396)"
9320,WEBSTER,NORTH POINT,SE,NB, ,26778000,,"(37.8038279962, -122.435182384)"
9321,WEBSTER,PAGE,SE,NB, ,25901000,,"(37.7732527439, -122.429003268)"
9322,WEBSTER,WALLER,NW,SB,0,25897000,,"(37.7713882731, -122.42862726)"
9323,WEST GATE,UPLAND,SE,NB,0,22760000,,"(37.7299775338, -122.464645786)"
9324,WEST PORTAL,SLOAT,NW,SB,0,23141000,,"(37.7347117483, -122.471582559)"
9325,WHEELER,BLANKEN,SE,NB, ,20285000,,"(37.711819378, -122.399941165)"
9326,WHIPPLE,HURON,NW,SB,0,21542000,,"(37.7121871811, -122.449428971)"
9327,WHITNEY,FAIRMOUNT,NW,SB, ,21871000,,"(37.7388589589, -122.42744158)"
9328,WHITNEY YOUNG,HAWKINS,ES,NB,15S,28150000,,"(37.7349501692, -122.38487931)"
9329,INDIANA,22ND ST,SE,NB,00,23619000,,"(37.7577728606, -122.391187406)"
9330,INDUSTRIAL,PALOU,NE,WB, ,20755000,,"(37.7396640644, -122.400912223)"
9331,INGALLS,EGBERT,NW,SB, ,20447000,,"(37.7216047947, -122.390758546)"
9332,INGALLS,HARBOR,SE,NB,00,20061000,,"(37.7333856776, -122.37994493)"
9333,INGALLS,INGERSON,SE,NB,0,20441000,,"(37.7191185841, -122.392994743)"
9334,INGALLS,PALOU,NW,SB,0,20136000,,"(37.7297424958, -122.383444388)"
9335,INGALLS,REVERE,NW,SB, ,20125000,,"(37.7284907929, -122.38456951)"
9336,INGALLS,VAN DYKE,SE,NB, ,20144000,,"(37.7259906094, -122.386813311)"
9337,INNES,DONAHUE,SW,EB,0,51690000,,"(37.728789509, -122.37016032)"
9338,INVERNESS,OCEAN,NW,SB,0,23221000,,"(37.7323985982, -122.482764654)"
9339,LOWER GREAT HWY,LINCOLN, ,NB, ,27965000,,"(37.7639742235, -122.509846292)"
